번호	도착시간	주문종류	서비스시간	turnaround time
1	21:48	방문	560	1244.60
2	12:14	방문	550	1001.70
3	17:38	전화	958	993.60
4	22:54	방문	550	1178.60
5	02:48	전화	818	1089.50
6	20:14	방문	330	930.00
7	04:48	전화	748	784.40
8	16:23	방문	230	251.80
9	22:48	전화	648	748.00
10	12:15	방문	440	916.40
11	21:48	방문	560	1293.60
12	08:44	방문	550	564.50
13	21:38	전화	958	1193.80
14	22:54	방문	550	1189.80
15	18:48	전화	308	372.40
16	20:14	방문	330	971.60
17	14:48	전화	748	1248.00
18	16:14	방문	230	430.00
19	15:38	전화	648	684.40
20	02:54	방문	550	798.00
21	18:48	전화	308	559.00
22	20:14	방문	330	970.00
23	14:48	전화	748	1485.40
24	16:14	방문	230	464.60
25	23:38	전화	648	662.60
<Average Arround Time> :	[881.05]
<냉장고 상태> :
시간(시/분/초)	피클	새우	닭고기	빵	상추	치즈	토마토
02:48:08.00	6	7	6	6	6	6	7
02:49:48.00	5	7	5	5	5	5	7
02:51:28.00	4	7	4	4	4	4	7
02:53:08.00	3	7	3	3	3	3	7
02:54:48.00	2	7	2	2	2	2	7
02:55:38.00	1	7	1	1	1	1	7
02:58:08.00	0	6	1	0	0	1	6
02:58:58.00	0	6	1	0	0	1	6
02:59:05.10	7	6	1	0	0	1	6
02:59:12.40	7	6	1	7	0	1	6
02:59:19.50	7	6	1	7	7	1	6
02:59:19.50	6	5	1	6	6	1	5
03:01:59.50	5	4	1	5	5	1	4
03:03:59.50	4	3	1	4	4	1	3
03:05:49.50	3	2	1	3	3	1	2
04:48:29.50	2	2	0	2	2	0	2
04:50:09.50	1	1	0	1	1	0	1
04:51:59.50	0	0	0	0	0	0	0
04:53:49.50	0	0	0	0	0	0	0
04:53:56.80	0	7	0	0	0	0	0
04:54:04.00	0	7	0	7	0	0	0
04:54:11.10	0	7	0	7	7	0	0
04:54:18.30	0	7	0	7	7	0	7
04:54:25.90	7	7	0	7	7	0	7
04:54:25.90	6	6	0	6	6	0	6
04:56:15.90	5	5	0	5	5	0	5
08:45:07.90	5	5	0	5	5	0	5
08:45:15.10	5	5	7	5	5	0	5
08:45:22.40	5	5	7	5	5	7	5
08:45:22.40	4	5	6	4	4	6	5
